Unnamed,이름,이메일,견종,견종_코드,크기,크기_코드,색상,색상_코드,연령대,연령대_코드,상태,상태_코드,브랜드,브랜드_코드,사료,사료_코드,평점,후기,주소,국가,시도,시군구,CP,CF,CR,CB,CA,PO,WA,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,field_25,field_26,field_27,field_28,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71,field_72,field_73,field_74,field_75,field_76,field_77,field_78,field_79,field_80,field_81,field_82,field_83
10,코숑이,dummy345@dummy.dummy,폼피츠,SMX,소형견,S,퓨어화이트,PH,강아지,P,비만,OB,로얄 캐닌 미니 인도어 어덜트,RN,미니 인도어 어덜트,RN042,5,2018년 5월 18일 아이를 유기견으로 입양 하였고 임보자 분이 로얄캐닌 사료를 급여 하엿고 저 역시도 아이가 사료를 잘 먹지 않아 샘플을 20가지 이상 구해서 먹여 보았으나 역시 먹지를 않아 다시 로얄캐닌으로 바꾸어 주었습니다 이후 아이가 변도 정상적으로 잘보고 먹는 양은 많지를 않지만 그래도 피부나 건강 이상 전혀 없어서 저는 항상 로얄 캐닌 입니다,인천 부평구 ,대한민국,인천광역시,부평구,21.0,14.0,6.1,1.9,0.75,0.5,0.0,BR,APM,BMA,HANI,HVEGP,AHAP,BBP,FMMI,HSO,HVEGF,HHY,HFO,HFOS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
11,루다,dummy552@dummy.dummy,스피츠,MSZ,중형견,M,퓨어화이트,PH,강아지,P,유루증,EP,로얄캐닌,RN,미니 인도어 어덜트,RN042,5,기호성이 좋은 사료같다. 응가도 만족스럽고 전체적으로 완벽하다,강원 속초시,대한민국,강원도,속초시,21.0,14.0,6.1,1.9,0.75,0.5,0.0,BR,APM,BMA,HANI,HVEGP,AHAP,BBP,FMMI,HSO,HVEGF,HHY,HFO,HFOS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
12,로다,dummy619@dummy.dummy,코카스페니얼,MCS,중형견,M,퓨어화이트,PH,성견,A,피부병,SD,로얄캐닌 미니 인도어 어덜트,RN,미니 인도어 어덜트,RN042,5,기호성이 좋음 변도 훌륭하다 만족스럽다,경남 김해,대한민국,경상남도,김해시,21.0,14.0,6.1,1.9,0.75,0.5,0.0,BR,APM,BMA,HANI,HVEGP,AHAP,BBP,FMMI,HSO,HVEGF,HHY,HFO,HFOS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
13,레옹,dummy680@dummy.dummy,시츄,SST,소형견,S,퓨어화이트,PH,성견,A,피부병,SD,로얄캐닌 인도어,RN,미니 인도어 어덜트,RN042,3,사료로만 급여하였을때보다 캔과 함께 급여 하였을때 피부 개선 효과를 보았다.,제주도,대한민국,제주특별자치도,blank,21.0,14.0,6.1,1.9,0.75,0.5,0.0,BR,APM,BMA,HANI,HVEGP,AHAP,BBP,FMMI,HSO,HVEGF,HHY,HFO,HFOS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
14,쿵쿵이,dummy903@dummy.dummy,치와와,SCH,소형견,S,초콜렛,CC,성견,A,비만,OB,로얄캐닌 인도어,RN,미니 인도어 어덜트,RN042,2,잘 안 먹어서 그런지 살이 많이 찌지 않았다.,경북 경주시,대한민국,경상북도,경주시,21.0,14.0,6.1,1.9,0.75,0.5,0.0,BR,APM,BMA,HANI,HVEGP,AHAP,BBP,FMMI,HSO,HVEGF,HHY,HFO,HFOS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
15,노을이,dummy913@dummy.dummy,치와와,SCH,소형견,S,블랙,BL,성견,A,피부병,SD,로얄캐닌 미니 인도어,RN,미니 인도어 어덜트,RN042,4,"피부, 모질이 확실히 좋아졌다.",대구 달서구,대한민국,대구광역시,달서구,21.0,14.0,6.1,1.9,0.75,0.5,0.0,BR,APM,BMA,HANI,HVEGP,AHAP,BBP,FMMI,HSO,HVEGF,HHY,HFO,HFOS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
16,삼돌이,dummy914@dummy.dummy,치와와,SCH,소형견,S,블랙,BL,성견,A,비만,OB,로얄캐닌 미니 인도어,RN,미니 인도어 어덜트,RN042,1,살이 많이 쪘다. 털이 많이 빠졌다.,대구 달성군,대한민국,대구광역시,달성군,21.0,14.0,6.1,1.9,0.75,0.5,0.0,BR,APM,BMA,HANI,HVEGP,AHAP,BBP,FMMI,HSO,HVEGF,HHY,HFO,HFOS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
17,랜드,dummy939@dummy.dummy,치와와,SCH,소형견,S,퓨어화이트,PH,성견,A,유루증,EP,로얄캐닌,RN,미니 인도어 어덜트,RN042,2,오래 먹였는데 눈물이 좋아지지 않았다.,인천 서구,대한민국,인천광역시,서구,21.0,14.0,6.1,1.9,0.75,0.5,0.0,BR,APM,BMA,HANI,HVEGP,AHAP,BBP,FMMI,HSO,HVEGF,HHY,HFO,HFOS,O6,O3,TA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
18,송이,dummy6@dummy.dummy,요크셔테리어,SYT,소형견,S,골든,GD,노견,S,치아 및 치주 질환,DD,피쉬포독,FI,슈페리어 어덜트,FI006,5,입이 까다롭고 사료를 잘안먹는 편인데 대체로 잘 먹는편이며 기호성도 좋은거 같습니다.,서울 관악구,대한민국,서울특별시,관악구,26.0,12.0,7.0,2.5,0.9,0.6,0.0,ESAL,ESAL,CPOT,BPST,HSALO,HFD,HSUN,BFP,ESR,HY,FMMI,HNS,DSW,DALG,DGLM,DSPIR,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
19,하나,dummy7@dummy.dummy,말티즈,SML,소형견,S,퓨어화이트,PH,성견,A,귓병,ET,아보덤,AV,그레인프리 치킨 & 포테이토,AV006,4,"눈물, 알러지 발생없고, 알사이즈도 적당하고 무난하게 잘 먹음 ",인천 연수구,대한민국,인천광역시,연수구,28.0,13.0,0.0,5.0,0.0,0.0,10.0,AC,BPE,HCF,BCP,CPOT,CTPO,CTA,CAV,HNFE,CAL,GSCH,BL,FMV,FMMI,DSW,HAVO,HROS,HAS,CPI,CPA,HBAC,HGM,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
20,청이,dummy33@dummy.dummy,믹스견,MMX,중형견,M,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,아보덤,AV,그레인프리 치킨 & 포테이토,AV006,5,반려견이 꾸준히 잘 먹는 사료입니다. 변도 완벽.,전북 정읍시,대한민국,전라북도,정읍시,28.0,13.0,0.0,5.0,0.0,0.0,10.0,AC,BPE,HCF,BCP,CPOT,CTPO,CTA,CAV,HNFE,CAL,GSCH,BL,FMV,FMMI,DSW,HAVO,HROS,HAS,CPI,CPA,HBAC,HGM,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
21,레오,dummy8@dummy.dummy,진돗개,BJD,대형견,B,퓨어화이트,PH,노견,S,피부병,SD,오리젠 시니어,OJ,시니어독,OJ006,5,올가닉 급의 사료 중에서 가장 기호성이 좋아서 이용중입니다.,대전 서구,대한민국,대전광역시,서구,38.0,15.0,8.0,8.0,1.3,1.1,12.0,AOC,ATM,EFD,AE,EMAC,ALC,ALT,AHC,AHT,EH,AOC,ATM,EMAC,ALC,ALT,BPE,BWK,BLE,ANC,AKC,BPIN,BCP,BLE,BLF,HNCFE,ACC,HHO,ABCP,HCF,ACT,DKP,AFDLC,AFDTL,CPU,CBS,CK,CSP,CMR,CCO,CTT,CCAR,CAPP,CPEA,BPS,CSFS,FZP,FVE,CCHR,CTU,CSAR,CAEL,HRH,CJB,HLACA,HBIFIA,HLATO,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
22,진진,dummy32@dummy.dummy,시츄,SST,소형견,S,트라이컬러,TC,노견,S,10세 이상 노견,A10,오리젠,OJ,시니어독,OJ006,5,기호성이 좋아요. 아이들이 잘 먹는것 같아서 기분이 좋습니다.,대전 신탄진,대한민국,대전광역시,대덕구,38.0,15.0,8.0,8.0,1.3,1.1,12.0,AOC,ATM,EFD,AE,EMAC,ALC,ALT,AHC,AHT,EH,AOC,ATM,EMAC,ALC,ALT,BPE,BWK,BLE,ANC,AKC,BPIN,BCP,BLE,BLF,HNCFE,ACC,HHO,ABCP,HCF,ACT,DKP,AFDLC,AFDTL,CPU,CBS,CK,CSP,CMR,CCO,CTT,CCAR,CAPP,CPEA,BPS,CSFS,FZP,FVE,CCHR,CTU,CSAR,CAEL,HRH,CJB,HLACA,HBIFIA,HLATO,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
23,유리,dummy404@dummy.dummy,닥스훈트,MDH,중형견,M,브라운,BR,노견,S,장염 및 소화기계,GP,오리젠,OJ,시니어독,OJ006,2,잘 먹는데도 살이 붙지 않는다. 조만간 바꿔줘야 할 것 같다.,경기도 의정부시,대한민국,경기도,의정부시,38.0,15.0,8.0,8.0,1.3,1.1,12.0,AOC,ATM,EFD,AE,EMAC,ALC,ALT,AHC,AHT,EH,AOC,ATM,EMAC,ALC,ALT,BPE,BWK,BLE,ANC,AKC,BPIN,BCP,BLE,BLF,HNCFE,ACC,HHO,ABCP,HCF,ACT,DKP,AFDLC,AFDTL,CPU,CBS,CK,CSP,CMR,CCO,CTT,CCAR,CAPP,CPEA,BPS,CSFS,FZP,FVE,CCHR,CTU,CSAR,CAEL,HRH,CJB,HLACA,HBIFIA,HLATO,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
24,구돌이,dummy428@dummy.dummy,비글,MBG,중형견,M,퓨어화이트,PH,노견,S,피부병,SD,오리젠,OJ,시니어독,OJ006,4,털빠짐이 줄어들었음. 알 사이즈가 크다.,충북 진천군,대한민국,충청북도,진천군,38.0,15.0,8.0,8.0,1.3,1.1,12.0,AOC,ATM,EFD,AE,EMAC,ALC,ALT,AHC,AHT,EH,AOC,ATM,EMAC,ALC,ALT,BPE,BWK,BLE,ANC,AKC,BPIN,BCP,BLE,BLF,HNCFE,ACC,HHO,ABCP,HCF,ACT,DKP,AFDLC,AFDTL,CPU,CBS,CK,CSP,CMR,CCO,CTT,CCAR,CAPP,CPEA,BPS,CSFS,FZP,FVE,CCHR,CTU,CSAR,CAEL,HRH,CJB,HLACA,HBIFIA,HLATO,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
25,까로,dummy9@dummy.dummy,푸들,SPD,소형견,S,그레이,GR,강아지,P,12개월 이하 아기,BU12,나우,NO,그레인프리 스몰브리드 퍼피,NO002,3,잘모르겠습니다. 더 이용해봐야 알 것 같아요,대전시 구암동,대한민국,대전광역시,유성구,28.0,18.0,9.0,4.5,1.2,0.8,10.0,ATM,CPS,BPE,CPOT,AE,BPE,BL,HCO,HNFE,HCCO,ESAL,ADM,CAL,CCAR,CPU,CBAN,CBL,CCR,CR,CBB,CP,CPI,CGF,BLE,CBRO,CSP,HCOTC,CAL,DKP,GCALC,GPDP,HLEC,GSCH,GPC,DSW,FMMI,TA,FMETH,FAA,CCHR,HLACA,HENTE,HASPN,HASPO,HY,CYSE,CMARI,HLC,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
26,블랑,dummy341@dummy.dummy,말티즈,SML,소형견,S,퓨어화이트,PH,강아지,P,12개월 이하 아기,BU12,나우그레인퍼피,NO,그레인프리 스몰브리드 퍼피,NO002,2,말티즈 남아9개월인데 눈물자국 때문에 나우그레인퍼피가 좋다는 말듣고 2개월째 급여중이긴하나 딱히큰차이는 모르겠네요...없어지지는않네요ㅜㅜ,서울은평구,대한민국,서울특별시,은평구,28.0,18.0,9.0,4.5,1.2,0.8,10.0,ATM,CPS,BPE,CPOT,AE,BPE,BL,HCO,HNFE,HCCO,ESAL,ADM,CAL,CCAR,CPU,CBAN,CBL,CCR,CR,CBB,CP,CPI,CGF,BLE,CBRO,CSP,HCOTC,CAL,DKP,GCALC,GPDP,HLEC,GSCH,GPC,DSW,FMMI,TA,FMETH,FAA,CCHR,HLACA,HENTE,HASPN,HASPO,HY,CYSE,CMARI,HLC,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
27,하니,dummy454@dummy.dummy,시바견,MS,중형견,M,퓨어화이트,PH,강아지,P,유루증,EP,나우 퍼피,NO,그레인프리 스몰브리드 퍼피,NO002,2,3개월 동안 급여했지만 유류증이 사라지지 않음.,경기도 고양시,대한민국,경기도,고양시,28.0,18.0,9.0,4.5,1.2,0.8,10.0,ATM,CPS,BPE,CPOT,AE,BPE,BL,HCO,HNFE,HCCO,ESAL,ADM,CAL,CCAR,CPU,CBAN,CBL,CCR,CR,CBB,CP,CPI,CGF,BLE,CBRO,CSP,HCOTC,CAL,DKP,GCALC,GPDP,HLEC,GSCH,GPC,DSW,FMMI,TA,FMETH,FAA,CCHR,HLACA,HENTE,HASPN,HASPO,HY,CYSE,CMARI,HLC,HROS,O6,O3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
